Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
655cdca037c6e0c35990ebd2,Project planning,https://trello.com/c/DCgisR4d/2-project-planning,Log performance metrics after implementation.,(red),,2025-09-22T00:00:00.000Z,0,,0,0,0,0,2023-11-21T16:36:48.263Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
655cdca097b19d34cead1519,Kickoff meeting,https://trello.com/c/8fS8CSS9/1-kickoff-meeting,Test thoroughly before deployment.,(yellow),,2025-07-10T00:00:00.000Z,0,,0,0,0,0,2023-11-21T16:36:48.158Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a2dd6e7cc85dcf3615607,Write backend API documentation,https://trello.com/c/qEo1F4Vv/4-write-backend-api-documentation,Generate and write Swagger docs for the new API endpoints.,(red),,2025-07-12T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:03:34.607Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a312e3e789f3efd3db653,Implement cache layer #7,https://trello.com/c/Rh1oumxN/11-implement-cache-layer-7,Coordinate with the team to resolve this issue.,(yellow),,2025-07-30T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:50.807Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a312fed4b4dd930819b83,Update dashboard UI #10,https://trello.com/c/FbKVuXlm/14-update-dashboard-ui-10,Coordinate with the team to resolve this issue.,(yellow),,2025-09-09T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:52.034Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a31313b6c8bbbc9a2feb2,Update dashboard UI #15,https://trello.com/c/dDomFn8C/19-update-dashboard-ui-15,Follow the Agile guidelines during development.,(red),,2025-10-04T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:54.073Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a3132d07ed97723972492,Write unit tests #16,https://trello.com/c/gPAXbRm0/20-write-unit-tests-16,Ensure code coverage exceeds 90%.,(yellow),,2025-07-10T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:54.432Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a3132c937db0f5e782035,Update dashboard UI #17,https://trello.com/c/XF2YCCWy/21-update-dashboard-ui-17,Ensure compliance with project requirements.,(yellow),,2025-07-08T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:54.825Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a3133decdddd0983f1657,Optimize DB queries #20,https://trello.com/c/EEcN0C2g/24-optimize-db-queries-20,Ensure code coverage exceeds 90%.,(red),,2025-09-26T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:55.987Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
686a313487aa0d88ecb0f41c,Write unit tests #22,https://trello.com/c/AmDAnnRI/26-write-unit-tests-22,Follow the Agile guidelines during development.,(red),,2025-08-26T00:00:00.000Z,0,,0,0,0,0,2025-07-06T08:17:56.762Z,655cdc9f9793094c8793c60d,To do,655cdc9eabd978ea86d620ba,My Trello board,FALSE,,FALSE
